OID_,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Leng,Shape_Area,zone_id,accessibility_score,commercial_score,road_density,population,dump_risk
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,27,0.4840360558986449,0.3758977173857734,5451.920694336892,0.45303588200067124,0.24364859339442846
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,28,0.6606446469977517,0.43217983043165836,5978.6098826959105,0.4968019443420214,0.3156517006468957
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,29,0.5170812973904079,0.6546448938210215,4598.2219160337645,0.38209644603396864,0.2635062984834459
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,30,0.12850125546320518,0.17513450284466142,1448.7026780133408,0.1203822161559037,0.28910643730294955
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,31,0.11877074806057701,0.17848289932378741,3575.332571249333,0.2970978551731625,0.5899321292589171
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,32,0.40775323423118304,0.17330542446594543,3704.890501835689,0.3078636741650527,0.15609628284722374
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,33,0.5711119503482182,0.0,3918.6294650782747,0.3256246478034067,0.1698296898445395
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,34,0.6500045649389321,0.33761478987306315,5040.030355732724,0.4188092097325065,0.1703091541521318
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,35,0.49810325000295885,0.0,4223.46460422811,0.35095540073842163,0.18581821566245776
0,Ward 174,BBMP Wards,21,0,0.0,-1,0,,Ward Name: HSR Layout<br>Zone: Bommanahalli <br>Division: Bommanahalli<br>Subdivision: Bommanahalli<br>Assembly (MLA) Constituency : Bommanahalli<br>Parliament (MP) Constituency: Bangalore South,0.16257322725,0.00058695748,36,0.5373784099434871,0.4601410854522996,3256.8820423691495,0.2706357101212962,0.1765806332434976
